,男性_目安量,女性_目安量
0〜5（月）,4,4
6〜11（月）,5,5
1〜2（歳）,20,20
3〜5（歳）,20,20
6〜7（歳）,30,30
8〜9（歳）,30,30
10〜11（歳）,40,40
12〜14（歳）,50,50
15〜17（歳）,50,50
18〜29（歳）,50,50
30〜49（歳）,50,50
50〜64（歳）,50,50
65〜74（歳）,50,50
75〜（歳）,50,50
