,男性_推定平均必要量,男性_推奨量,男性_目安量,女性_推定平均必要量,女性_推奨量,女性_目安量
0〜5（月）,,,0.1,,,0.1
6〜11（月）,,,0.2,,,0.2
1〜2（歳）,0.4,0.5,,0.4,0.5,
3〜5（歳）,0.6,0.7,,0.6,0.7,
6〜7（歳）,0.7,0.8,,0.7,0.8,
8〜9（歳）,0.8,1.0,,0.8,0.9,
10〜11（歳）,1.0,1.2,,0.9,1.1,
12〜14（歳）,1.2,1.4,,1.1,1.3,
15〜17（歳）,1.3,1.5,,1.0,1.2,
18〜29（歳）,1.2,1.4,,0.9,1.1,
30〜49（歳）,1.2,1.4,,0.9,1.1,
50〜64（歳）,1.1,1.3,,0.9,1.1,
65〜74（歳）,1.1,1.3,,0.9,1.1,
75〜（歳）,1.0,1.2,,0.8,0.9,
