,男性_推定平均必要量,男性_推奨量,男性_目安量,女性_推定平均必要量,女性_推奨量,女性_目安量
0〜5（月）,,,0.3,,,0.3
6〜11（月）,,,0.4,,,0.4
1〜2（歳）,0.5,0.6,,0.5,0.5,
3〜5（歳）,0.7,0.8,,0.6,0.8,
6〜7（歳）,0.8,0.9,,0.7,0.9,
8〜9（歳）,0.9,1.1,,0.9,1.0,
10〜11（歳）,1.1,1.4,,1.0,1.3,
12〜14（歳）,1.3,1.6,,1.2,1.4,
15〜17（歳）,1.4,1.7,,1.2,1.4,
18〜29（歳）,1.3,1.6,,1.0,1.2,
30〜49（歳）,1.3,1.6,,1.0,1.2,
50〜64（歳）,1.2,1.5,,1.0,1.2,
65〜74（歳）,1.2,1.5,,1.0,1.2,
75〜（歳）,1.1,1.3,,0.9,1.0,
