,男性_目安量,男性_目標量-下限,女性_目安量,女性_目標量-下限
0〜5（月）,400,,400,
6〜11（月）,700,,700,
1〜2（歳）,900,,900,
3〜5（歳）,1000,1400,1000,1400
6〜7（歳）,1300,1800,1200,1800
8〜9（歳）,1500,2000,1500,2000
10〜11（歳）,1800,2200,1800,2000
12〜14（歳）,2300,2400,1900,2400
15〜17（歳）,2700,3000,2000,2600
18〜29（歳）,2500,3000,2000,2600
30〜49（歳）,2500,3000,2000,2600
50〜64（歳）,2500,3000,2000,2600
65〜74（歳）,2500,3000,2000,2600
75〜（歳）,2500,3000,2000,2600
