,男性_目安量,女性_目安量
0〜5（月）,4,4
6〜11（月）,5,5
1〜2（歳）,3,4
3〜5（歳）,4,4
6〜7（歳）,5,5
8〜9（歳）,6,5
10〜11（歳）,6,6
12〜14（歳）,7,6
15〜17（歳）,7,6
18〜29（歳）,5,5
30〜49（歳）,5,5
50〜64（歳）,6,5
65〜74（歳）,6,5
75〜（歳）,6,5
