,男性_推定平均必要量,男性_推奨量,男性_目安量,女性_推定平均必要量,女性_推奨量,女性_目安量
0〜5（月）,,,40,,,40
6〜11（月）,,,40,,,40
1〜2（歳）,35,40,,35,40,
3〜5（歳）,40,50,,40,50,
6〜7（歳）,50,60,,50,60,
8〜9（歳）,60,70,,60,70,
10〜11（歳）,70,85,,70,85,
12〜14（歳）,85,100,,85,100,
15〜17（歳）,85,100,,85,100,
18〜29（歳）,85,100,,85,100,
30〜49（歳）,85,100,,85,100,
50〜64（歳）,85,100,,85,100,
65〜74（歳）,80,100,,80,100,
75〜（歳）,80,100,,80,100,
