,男性_目安量,女性_目安量
0〜5（月）,4,4
6〜11（月）,4,4
1〜2（歳）,4,4
3〜5（歳）,6,6
6〜7（歳）,8,7
8〜9（歳）,8,7
10〜11（歳）,10,8
12〜14（歳）,11,9
15〜17（歳）,13,9
18〜29（歳）,11,8
30〜49（歳）,10,8
50〜64（歳）,10,8
65〜74（歳）,9,8
75〜（歳）,8,7
