,男性_目安量,女性_目安量
0〜5（月）,0.9,0.9
6〜11（月）,0.8,0.8
1〜2（歳）,0.7,0.8
3〜5（歳）,1.1,1.0
6〜7（歳）,1.5,1.3
8〜9（歳）,1.5,1.3
10〜11（歳）,1.6,1.6
12〜14（歳）,1.9,1.6
15〜17（歳）,2.1,1.6
18〜29（歳）,2.0,1.6
30〜49（歳）,2.0,1.6
50〜64（歳）,2.2,1.9
65〜74（歳）,2.2,2.0
75〜（歳）,2.1,1.8
