,女性_推定平均必要量,女性_推奨量,女性_月経あり_推定平均必要量,女性_月経あり_推奨量,女性_月経なし_推定平均必要量,女性_月経なし_推奨量,女性_目安量,女性_目標量-下限,女性_目標量-上限,女性_耐容上限量,女性_耐容上限量-ニコチンアミド,女性_耐容上限量-ニコチン酸,女性_身体活動レベルⅠ,女性_身体活動レベルⅡ,女性_身体活動レベルⅢ,男性_推定平均必要量,男性_推奨量,男性_目安量,男性_目標量-下限,男性_目標量-上限,男性_耐容上限量,男性_耐容上限量-ニコチンアミド,男性_耐容上限量-ニコチン酸,男性_身体活動レベルⅠ,男性_身体活動レベルⅡ,男性_身体活動レベルⅢ
エネルギー_推定エネルギー必要量_kcal,,,,,,,,,,,,,1850.0,2100.0,2350.0,,,,,,,,,1950.0,2250.0,2500.0
たんぱく質_たんぱく質_g／日（目標量は%エネルギー）,40.0,50.0,,,,,,13.0,20.0,,,,,,,40.0,45.0,,13.0,20.0,,,,,,
脂質_脂質_％エネルギー,,,,,,,,20.0,30.0,,,,,,,,,,20.0,30.0,,,,,,
脂質_飽和脂肪酸_％エネルギー,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,,,
脂質_n─6系脂肪酸_g／日,,,,,,,8.0,,,,,,,,,,,10.0,,,,,,,,
脂質_n─3系脂肪酸_g／日,,,,,,,1.6,,,,,,,,,,,1.6,,,,,,,,
炭水化物_炭水化物_％エネルギー,,,,,,,,50.0,65.0,,,,,,,,,,50.0,65.0,,,,,,
炭水化物_食物繊維_g／日,,,,,,,,13.0,,,,,,,,,,,13.0,,,,,,,
ビタミン（脂溶性ビタミン）_ビタミンA_μgRAE／日,400.0,600.0,,,,,,,,1900.0,,,,,,450.0,600.0,,,,1500.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンD_μg／日,,,,,,,8.0,,,60.0,,,,,,,,6.5,,,60.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンE_mg／日,,,,,,,5.5,,,450.0,,,,,,,,5.5,,,450.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンK_μg／日,,,,,,,140.0,,,,,,,,,,,110.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB1_mg／日,0.9,1.1,,,,,,,,,,,,,,1.0,1.2,,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB2_mg／日,1.0,1.3,,,,,,,,,,,,,,1.1,1.4,,,,,,,,,
ビタミン（水溶性ビタミン）_ナイアシン_mgNE／日,10.0,10.0,,,,,,,,,150.0,45.0,,,,11.0,13.0,,,,,200.0,45.0,,,
ビタミン（水溶性ビタミン）_ビタミンB6_mg／日,1.0,1.1,,,,,,,,30.0,,,,,,1.0,1.1,,,,30.0,,,,,
ビタミン（水溶性ビタミン）_ビタミンB12_μg／日,1.6,1.9,,,,,,,,,,,,,,1.6,1.9,,,,,,,,,
ビタミン（水溶性ビタミン）_葉酸_μg／日,160.0,190.0,,,,,,,,700.0,,,,,,160.0,190.0,,,,700.0,,,,,
ビタミン（水溶性ビタミン）_パントテン酸_mg／日,,,,,,,6.0,,,,,,,,,,,6.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビオチン_μg／日,,,,,,,40.0,,,,,,,,,,,40.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンC_mg／日,70.0,85.0,,,,,,,,,,,,,,70.0,85.0,,,,,,,,,
ミネラル（多量ミネラル）_ナトリウム_μg／日,,,,,,,,,2400.0,,,,,,,,,,,2400.0,,,,,,
ミネラル（多量ミネラル）_食塩相当量_g／日,,,,,,,,,6.0,,,,,,,,,,,6.0,,,,,,
ミネラル（多量ミネラル）_カリウム_mg／日,,,,,,,1800.0,2000.0,,,,,,,,,,1800.0,2200.0,,,,,,,
ミネラル（多量ミネラル）_カルシウム_mg／日,600.0,750.0,,,,,,,,,,,,,,600.0,700.0,,,,,,,,,
ミネラル（多量ミネラル）_マグネシウム_mg／日,180.0,220.0,,,,,,,,,,,,,,180.0,210.0,,,,,,,,,
ミネラル（多量ミネラル）_リン_mg／日,,,,,,,1000.0,,,,,,,,,,,1100.0,,,,,,,,
ミネラル（微量ミネラル）_鉄_mg／日,,,10.0,12.0,7.0,8.5,,,,35.0,,,,,,7.0,8.5,,,,35.0,,,,,
ミネラル（微量ミネラル）_亜鉛_mg／日,5.0,6.0,,,,,,,,,,,,,,6.0,7.0,,,,,,,,,
ミネラル（微量ミネラル）_銅_mg／日,0.5,0.6,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,
ミネラル（微量ミネラル）_マンガン_mg／日,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,
ミネラル（微量ミネラル）_ヨウ素_μg／日,80.0,110.0,,,,,,,,900.0,,,,,,80.0,110.0,,,,900.0,,,,,
ミネラル（微量ミネラル）_セレン_μg／日,20.0,25.0,,,,,,,,250.0,,,,,,20.0,25.0,,,,250.0,,,,,
ミネラル（微量ミネラル）_クロム_μg／日,,,,,,,,,,,,,,,,,,,,,,,,,,
ミネラル（微量ミネラル）_モリブデン_μg／日,15.0,20.0,,,,,,,,,,,,,,15.0,20.0,,,,,,,,,
